입력,출력
시간표,"등교: ~08:20
아침조례 및 자습: 08:20~08:40
1교시: 08:40~09:30
2교시: 09:40~10:30
3교시: 10:40~11:30
4교시: 11:40~12:30
중식: 12:30~13:40
5교시: 13:40~14:30
청소: 14:30~14:45
6교시: 14:45~15:35
7교시: 15:45~16:35
보충수업: 16:45~17:35
석식: 17:35~18:40
야간자율학습 1차시: 18:40~19:50
야간자율학습 2차시: 20:00~21:00"
위치,부산광역시 동래구 명장로106번길 26
학교명,"충렬고등학교 (한자: 忠烈高等學校, 영어: Chungryeol High School)"
교훈,"이기고 물처럼 착하게, 그리고 이긴다 (한자: 克己, 至善者如水 超克無爲自然)"
개교 날짜,1985년 3월 4일
학교 유형,일반계 남자 고등학교 (인문계 남고)
운영 형태(사립/공립중에서),공립
교화,진달래
교목,느티나무
교장,"2025년 기준, 제15대 이화경"
교감,전상천
학생수,2025년 기준 604명
한 학년당 반 개수,8개 (1반~8반 까지 있음)
급식,
시험 일정,
행사 일정,
교무실 배치도,
개발자,"윤찬서(전략기획 및 감독총괄 담당), 김종진(프로그래밍 및 기획 담당), 김한성(프로그래밍 및 기획 담당), 김민규(it실무 지원, 홍보 및 발표 담당)  장지호(기획)"
후원,
,인식 시켜야 하는 정보: 본관의 경우 일의자리 3번째 라인에 중앙 현관 계단 존재  일의자리 1번째 라인에 계단 존재
,"인식 시켜야 하는 정보: 서관의 경우 501, 403, 302, 202, 102  와 502, 404, 303, 203, 103 사이에 중앙 계단 존재. 505, 407, 306, 206, 107 옆에 끝 계단 존재"
,"백의 자리: 층수   일의 자리: 본관 기준 왼쪽부터 오른쪽으로 1부터 증가,  서관 기준 북쪽부터 남쪽으로 1씩 증가"
느티나무 교실,501 서관
창의융합실 3,502 서관
서라운드 강의실,503 서관
모둠학습실,504 서관
진로활동실,505 서관
3학년 홈베이스1,401 서관
3학년 홈베이스2,402 서관
학년 경영실 (3),403 서관
미술실,404 서관
4층 미술 준비실,405 서관
음악실,406 서관
4층 음악 준비실,407 서관
3-1,301 서관
3-2,302 서관
3-3,303 서관
3-4,304 서관
무한상상실,305 서관
무한 상상실 준비실,306 서관
3-5,201 서관
3-6,202 서관
3-7,203 서관
3-8,204 서관
생물화학실,205 서관
생물 준비실,206 서관
컴퓨터실,101 서관
중국과 사람,102 서관
자율동아리실,103 서관
학생자치실,104 서관
통합교육실,105 서관
물리지학실,106 서관
물리 준비실,107 서관
2-5,507 본관
2-4,506 본관
창의융합실 2,505 본관
2학년경영실,504 본관
5층 홈베이스,504-1 본관
2-3,503 본관
2-2,502 본관
2-1,501 본관
1-2,407 본관
1-1,406 본관
창의융합실 1,405 본관
1학년경영실,404 본관
4층 홈베이스,404-1 본관
2-8,403 본관
2-7,402 본관
2-6,401 본관
1-8,307 본관
1-7,306 본관
1-6,305 본관
스마트실,304 본관
1-5,303 본관
1-4,302 본관
1-3,301 본관
위클래스,209 본관
교과회의실,208 본관
성적처리실,207 본관
스튜디오 회의실,206 본관
방송실,205 본관
교무지원실,204 본관
교과지원실,203 본관
휴게실(여),202 본관
휴게실(남),201 본관
행정실,103 본관
교장실,102 본관
보건실,101 본관
